SegmentID,SegmentType,Symbol,StationID,Code,Arrival,Departure,Minutes
1860770,I,STACOMA101,89,WSTEND,10/5/17 3:11,10/5/17 3:15,4
1860772,I,STACOMA101,21,DRUMMT,10/4/17 15:20,10/4/17 15:22,2
1860774,I,STACOMA101,43,CHILDS,10/4/17 8:16,10/4/17 8:17,1
1860780,I,XKAHPPI902,21,DRUMMT,10/4/17 10:13,10/4/17 10:31,18
1860796,I,STACOMA101,72,LOMBRD,10/4/17 22:30,10/4/17 23:16,46
1860798,I,STACOMA101,51,AVON  ,10/4/17 17:18,10/4/17 17:31,13
1860808,I,STACOMA101,17,MANHMT,10/5/17 0:15,10/5/17 0:16,1
1860810,I,STACOMA101,55,CLINTN,10/4/17 14:41,10/4/17 14:45,4
1860811,I,XKAHPPI902,51,AVON  ,10/4/17 11:29,10/4/17 11:31,2
1860818,I,XKAHPPI902,89,WSTEND,10/4/17 16:22,10/4/17 16:28,6
1860829,I,XKAHPPI902,27,PLAIMT,10/4/17 5:54,10/4/17 5:57,3
1860835,I,STACOMA101,63,ELTON ,10/5/17 8:27,10/5/17 8:29,2
1860845,I,STACOMA101,27,PLAIMT,10/4/17 9:21,10/4/17 9:25,4
1860862,I,XKAHPPI902,77,QUEBEC,10/4/17 19:04,10/4/17 19:05,1
1860872,I,STACOMA101,66,GREYCL,10/5/17 9:01,10/5/17 9:02,1
1860877,I,XKAHPPI902,84,TUSCOR,10/4/17 4:22,10/4/17 4:24,2
1860881,I,XKAHPPI902,53,BONNER,10/4/17 9:23,10/4/17 9:27,4
1860890,I,XKAHPPI902,54,CARNEY,10/4/17 18:09,10/4/17 18:20,11
1860891,I,XKAHPPI902,12,COLUMT,10/4/17 19:32,10/4/17 20:04,32
1860914,I,STACOMA101,50,AUSTIN,10/4/17 18:27,10/4/17 18:39,12
1860917,I,STACOMA101,47,BLOSSB,10/4/17 18:09,10/4/17 18:13,4
1860926,I,XKAHPPI902,46,HERON ,10/4/17 3:55,10/4/17 3:57,2
1860927,I,XKAHPPI902,50,AUSTIN,10/4/17 12:14,10/4/17 12:31,17
1860928,I,STACOMA101,22,GARRMT,10/4/17 16:22,10/4/17 16:56,34
1860929,I,STACOMA101,16,BOZEMA,10/5/17 0:46,10/5/17 2:48,122
1860930,I,XKAHPPI902,66,GREYCL,10/4/17 18:43,10/4/17 18:54,11
